,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Singles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,brandenburg_gun_76_x1,0.826,0.997,0.66,,,2,,jap_tb_gun_76_x1,1.326,1.497,0.66,,,2,,bouvet_gun_100_x1,0.826,0.997,0.66,,,2,,friedrich_gun_152_x1,0.763,0.8985,0.92,,,2,40,dd_s_gun_b_102_x1,0.763,0.8985,0.66,,,2,45,dd_s_gun_b_102_x1,0.763,0.8985,0.66,,,2,50,dd_s_gun_b_102_x1,0.763,0.8985,0.66,,,2,40,dd_s_gun_c_102_x1,0.763,0.8985,0.66,,,2,45,dd_s_gun_c_102_x1,0.763,0.8985,0.66,,,2,50,dd_s_gun_c_102_x1,0.763,0.8985,0.66,,,2,40,dd_s_gun_d_102_x1,0.763,0.8985,0.66,,,2,45,dd_s_gun_d_102_x1,0.763,0.8985,0.66,,,2,50,dd_s_gun_d_102_x1,0.763,0.8985,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,brandenburg_gun_76_x1,1.017,2.288,1,,,3,,jap_tb_gun_76_x1,1.517,1.688,1,,,3,,bouvet_gun_100_x1,1.017,2.288,1,,,3,,friedrich_gun_152_x1,0.9085,1.044,1.45,,,3,40,dd_s_gun_b_102_x1,0.9085,1.044,1,,,3,45,dd_s_gun_b_102_x1,0.9085,1.044,1,,,3,50,dd_s_gun_b_102_x1,0.9085,1.044,1,,,3,40,dd_s_gun_c_102_x1,0.9085,1.044,1,,,3,45,dd_s_gun_c_102_x1,0.9085,1.044,1,,,3,50,dd_s_gun_c_102_x1,0.9085,1.044,1,,,3,40,dd_s_gun_d_102_x1,0.9085,1.044,1,,,3,45,dd_s_gun_d_102_x1,0.9085,1.044,1,,,3,50,dd_s_gun_d_102_x1,0.9085,1.044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,40,,,,,,,,45,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,brandenburg_gun_76_x1,1.208,1.379,1.1,,,4,,jap_tb_gun_76_x1,1.708,1.879,1.1,,,4,,bouvet_gun_100_x1,1.208,1.379,1.1,,,4,,friedrich_gun_152_x1,1.054,1.1895,1.7,,,4,40,dd_s_gun_b_102_x1,1.054,1.1895,1.1,,,4,45,dd_s_gun_b_102_x1,1.054,1.1895,1.1,,,4,50,dd_s_gun_b_102_x1,1.054,1.1895,1.1,,,4,40,dd_s_gun_c_102_x1,1.054,1.1895,1.1,,,4,45,dd_s_gun_c_102_x1,1.054,1.1895,1.1,,,4,50,dd_s_gun_c_102_x1,1.054,1.1895,1.1,,,4,40,dd_s_gun_d_102_x1,1.054,1.1895,1.1,,,4,45,dd_s_gun_d_102_x1,1.054,1.1895,1.1,,,4,50,dd_s_gun_d_102_x1,1.054,1.1895,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
